58684	58684
557180	557180
63406	63406
100688	100688
81834	81834
319611	319611
198854	198854
3509	29739
185688	185688
307793	307793
212224	212224
434570	434570
310850	310850
88273	88273
178946	178946
77735	77735
332301	332301
66454	66454
135480	135480
413127	413127
169445	169445
79618	79618
641196	641196
493278	493278
355600	355600
475902	475902
110875	110875
7022	7022
648453	648453
238276	238276
537764	537764
470484	470484
500220	500220
38711	38712
85290	85290
314484	314484
2203	2203
418180	418180
109171	109171
384628	384628
91373	91374
39508	39508
114836	114836
641170	641170
413132	413132
108434	108434
211719	211719
84275	84275
118090	118090
163934	163934
459047	459047
323608	323608
91956	91956
228132	228132
76381	76381
168099	168099
469539	469540
144248	144248
90806	90806
158534	158534
57658	57658
34468	34468
149410	149410
77297	77297
252820	252820
165770	165770
156910	309075,156968,309078,309077,309076,309073,309074
58935	58935
5464	5464
47439	47439
381704	381704
43071	43071
137711	137711
64626	64626
234460	234460
227255	227255
141378	141378
197664	197664
51109	51109
196715	196715
58902	58902
217623	217623
1354	1354
192593	192593
84664	84664
308604	308604
215710	215710
360842	434366,434381,434376,434380,434375,434370,434371,434369,434368,368664,434379,434373,434367,360843,434384,434374,368665,434377,434383
9683	9683
93112	93112
110289	110289
679972	679972
197163	197163
498480	498480
272165	272165
175186	175186
227222	227222
63479	63479
69413	69413
43367	43367
172742	172742
40179	40179
225595	225595
322455	322455
57753	57753
209831	209831
520859	520859
29918	29918
280797	280797
141854	141854
88399	88399
108535	108535
329508	329508
71131	71131
280966	280966
231210	231210
41777	41777
79199	4039
555336	555336
538380	538380
363794	363794
117018	117018
48848	48848
98462	98462
388473	388473
212137	212137
463803	463803
102180	102180
73621	73621
562975	562975
410700	410700
239185	239185
688019	688019
496689	496689
57062	57062
82251	82251
504198	504198
490349	490349
147702	147702
58958	58958
427722	427722
122015	122015
241855	241855
233760	233760
4405	4407
410717	410717
378480	378480
5671	5671
348273	348273
68543	76967,159045,159052
561126	561126
188476	188476
119244	119244
51138	51138
328214	328214
286408	286408
292869	292869
55380	55380
184801	184801
80760	80760
359881	359881
262177	262177
75935	75935
42636	42636
271964	271964
85557	85557
126294	126294
577015	577015
447675	447675
190749	190748
537786	537786
282337	282337
154995	154995
67636	67636
294	294
219560	369090
480484	480484
89028	89028
54327	54327
292701	292701
54227	54227
286213	286213
446868	446868
202646	202646
219272	219272
362374	362374
655497	655497
648323	648323
368039	368039
105757	105757
135782	135782
539121	539121
30753	30753
94460	94460
159331	159330
260996	260996
326159	326159
9401	170224,522446,77217,9402,589506,589508,170229,9404,170223,170232,166054,170220,94117,170227,448077,170230,126282,589507,589509,9403,170231,161598,161599,143291,170228,110942,77216,328804,170225,58082,132908,522447,9405,170226
37185	37185
298678	298678
548177	548177
291385	291385
349949	349949
395064	395064
261044	261044
167690	167690
60255	60255
3750	3750
304446	304446
150590	150590
150703	150703
156854	156854
335492	335492
69293	69293
240308	240308
37816	37816
358137	358137
306533	306533
162349	162349
249492	249492
289939	289939
189610	189610
87684	87684
646073	646073
420291	420291
162888	162888
162103	162103
191312	191312
300274	300274
156250	156250
429675	429675
317944	33502,317945
48931	48931
55959	55959
44645	44645
52632	441935,441912,441940,441921,441941,441919,410277,441918,441922,441920,441917,441929,441931,441913,441914,441925,441916,441937
34748	34748
158152	158152
425790	425790
13833	208704,58522,208699,13834,208697,37426,208702,208706,208701,49227,208698,253512,208703,208700
63084	63103,189801
