Tb5052	4762	10000000000000000000
Tb5052	42382	11000000000000000000
Tb5052	4805	11100000000000000000
Tb5052	4810	11110000000000000000
Tb5052	34353	11111000000000000000
Tb5052	107573	11111100000000000000
Tb5052	27312	11111110000000000000
Tb5052	78133	11111111100000000000
Tb5052	5042	11111111110000000000
Tb5052	147538	11111111110000000000
Tb5052	4893	11111111001100000000
Tb5052	5009	11111111001100000000
Tb5052	5268	11111111001010000000
Tb5052	5258	11111111001011000000
Tb5052	5404	11111111001011100000
Tb5052	5279	11111111001011110000
Tb5052	155619	11111111001011111000
Tb5052	5254	11111111001011111100
Tb5052	5227	11111111001011111110
Tb5052	5215	11111111001011111111
Tb5052	5237	11111111001011111111
